id,lab_id,Special dougallii,Colour-ring no.,Colour-ring place (Green left or Green right tarsus),year,date,country,location,First capture (Local) or retrap (R),mass,wing,head,culmen,tarsus,sex,plumage,moult_scores,origin,colony_code,colony_name,date_ringed,hy_ad,age,reporter,colony_inferred,note,recaptured_date,recaptured_place,recaptured_reporter,note
CV83770,A04,,A04,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,107.5,235,78.2,,20.5,M,ad summer ,5555888888,,,,,,,,unknown,,,,,
CV83771,A68,,A68,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,119.1,228,76.6,,19.6,F,ad summer ,5555888888,,,,,,,,unknown,,,,,
Ring AC,A15,Right: AH/DT,A15,GL,2022,4/4/2022,SN,La langue de Barbarie ,R,108.4,234,78.1,,19.3,M,ad summer ,5555888888,Ireland,ROC,Rockabill,15/07/2017,HY,5,Steve Newton,ROC,,April / May 2022,Rockabill (Ireland),Steve Newton,
ST52527,27DP,Right: 27/DP,,,2022,4/4/2022,SN,La langue de Barbarie ,R,96.9,235,74.3,,,F,ad summer ,5555888888,Ireland,ROC,Rockabill,11/7/2015,HY,7,Steve Newton,ROC,,,,,
ST52575,75DP,Right: 75/DP,,,2022,4/4/2022,SN,La langue de Barbarie ,R,117.1,230,78.1,,20.5,,ad summer ,5555555888,Ireland,ROC,Rockabill,11/7/2015,HY,7,Steve Newton,ROC,,,,,
CV83772,B15,,B15,GL,2022,4/5/2022,SN,La langue de Barbarie ,L,141,240,80.6,,21.2,M,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83773,B98,,B98,GL,2022,4/5/2022,SN,La langue de Barbarie ,L,127.9,240,80.1,,19.6,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83774,A29,,A29,GL,2022,4/5/2022,SN,La langue de Barbarie ,L,129.4,239,78.5,,20.9,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83775,A25,,A25,GL,2022,4/5/2022,SN,La langue de Barbarie ,L,108,232,76.6,,19.7,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83776,,,A24,GL,2022,4/5/2022,SN,La langue de Barbarie ,L,120.4,230,76.3,,21.5,,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83777,B72,,B72,GL,2022,4/5/2022,SN,La langue de Barbarie ,L,113.3,231,76.8,,20.1,F,ad summer ,5555558888,,,,,,,,unknown,,,,,
Ring AC,B04,Right: 41/BN,B04,GL,2022,4/5/2022,SN,La langue de Barbarie ,R,116.6,244,81.1,,20.3,M,ad summer ,5555558888,Ireland,ROC,Rockabill,25/07/2012,HY,10,Steve Newton,ROC,ST20341 lost,,,,
SR55316,16V4,Left: 16/V4,,,2022,4/5/2022,SN,La langue de Barbarie ,R,111.9,232,82.5,,21.2,M,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,11/6/2008,HY,14,Steve Newton,LIL,,,,,
ST05776,76BA,Right: 76/BA,,,2022,4/5/2022,SN,La langue de Barbarie ,R,104.9,240,80,,19.9,M,ad summer ,5555555888,Ireland,ROC,Rockabill,18/06/2012,HY,10,Steve Newton,ROC,Trapped at La Somone in 2018,,,,
ST20855,55BL,Right: 55/BL,,,2022,4/5/2022,SN,La langue de Barbarie ,R,99.9,238,77.9,,20.4,F,ad summer ,5555555888,Ireland,ROC,Rockabill,13/07/2012,HY,10,Steve Newton,ROC,,,,,
ST22077,77BS,Right: 77/BS,,,2022,4/5/2022,SN,La langue de Barbarie ,R,112.6,237,79.2,,17.9,F,ad summer ,5555555888,Ireland,ROC,Rockabill,16/07/2013,HY,9,Steve Newton,ROC,,,,,
CV83778,B74,,B74,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,117.7,231,75,,21,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83779,B03,,B03,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,119.9,232,77.9,,21.7,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83780,A19,,A19,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,124.5,235,79.6,,20.4,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83781,A46,,A46,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,109.4,234,79.2,,21.9,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83782,A49,,A49,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,118.4,235,79.4,,21.1,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83783,A47,,A47,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,118,241,81.7,,20.2,M,ad summer ,5555888888,,,,,,,,ROC,,23/05/2022 + June 2023,Rockabill (Ireland),Steve Newton,
CV83784,B68,,B68,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,106.3,235,76.1,,19.5,F,ad summer ,5555558888,,,,,,,,ROC,,25/05/2022 + June 2023,Rockabill (Ireland),Steve Newton,
CV83785,B73,,B73,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,99.5,245,76.9,,20.9,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83786,A69,,A69,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,105.8,242,82.5,,19.4,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83787,A71,,A71,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,93.8,236,76.4,,20.9,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83788,B61,,B61,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,101.3,233,76.4,,21.4,F,ad summer ,5555555888,,,,,,,,AZ,,26/05/2022,"Praia Islet colony, Graciosa, Azores (Portugal)",Veronica Neves,
G016184,B76,,B76,GL,2022,4/6/2022,SN,La langue de Barbarie ,R,113.8,233,78.5,,19.6,F,ad summer ,5555555888,Azores,AZ,Praia Islet (Graciosa),10/7/2015,HY,7,Veronica Neves,AZ,,,,,
Ring AC,A21,Left: 12/V3,A21,GR,2022,4/6/2022,SN,La langue de Barbarie ,R,102.2,242,79,,21.4,F,ad summer ,5555558888,Ireland,LIL,Lady's Island Lake,9/6/2007,HY,15,Steve Newton,LIL,SR55112 lost,11/05/2022 + June 2023,"Inish Island colony, Lady's Island Lake (Ireland)",Edward Stubbings,
Ring AC,A62,Right: 90/V6,A62,GL,2022,4/6/2022,SN,La langue de Barbarie ,R,100.5,235,78.4,,22.1,F,ad summer ,5488888888,Ireland,ROC,Rockabill,1/7/2007,HY,15,Steve Newton,ROC,SR52690 lost,,,,
Ring AC,B91,Right: AD/NZ,B91,GL,2022,4/6/2022,SN,La langue de Barbarie ,R,117.8,240,77.5,,20.5,M,ad summer ,5555555888,Ireland,ROC,Rockabill,5/7/2017,HY,5,Steve Newton,ROC,,,,,
SR55757,57X0,Right: 57/X0,,,2022,4/6/2022,SN,La langue de Barbarie ,R,98.3,232,74.9,,20.1,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,9/6/2010,HY,12,Steve Newton,LIL,,,,,
SR94874,74CY,Right: 74/CY,,,2022,4/6/2022,SN,La langue de Barbarie ,R,113.5,231,77,,20.3,F,ad summer ,5588888888,Ireland,LIL,Lady's Island Lake,23/06/2015,HY,7,Steve Newton,LIL,,,,,
ST04435,AX35,Right: AX/35,,,2022,4/6/2022,SN,La langue de Barbarie ,R,105.3,230,76.5,,20.2,F,ad summer ,5555555888,Ireland,ROC,Rockabill,13/07/2011,HY,11,Steve Newton,ROC,,,,,
ST20556,56BH,Right: 56/BH,,,2022,4/6/2022,SN,La langue de Barbarie ,R,95.7,230,76.4,,20,F,ad summer ,5555555888,Ireland,ROC,Rockabill,9/7/2012,HY,10,Steve Newton,ROC,,,,,
ST21731,31BW,Right: 31/BW,,,2022,4/6/2022,SN,La langue de Barbarie ,R,111.5,232,77.5,,21.4,F,ad summer ,5555588888,Ireland,ROC,Rockabill,20/07/2013,HY,9,Steve Newton,ROC,,,,,
ST22337,37BU,Right: 37/BU,,,2022,4/6/2022,SN,La langue de Barbarie ,R,117.4,235,77.5,,20.7,F,ad summer ,5555555888,Ireland,ROC,Rockabill,20/07/2013,HY,9,Steve Newton,ROC,,,,,
SV91192,92F5,Right: 92/F5,,,2022,4/6/2022,SN,La langue de Barbarie ,R,109.6,230,80.9,,21,M,ad summer ,5555558888,Ireland,ROC,Rockabill,8/7/2003,HY,19,Steve Newton,ROC,,,,,
BJ15542,A36,,A36,GL,2022,4/7/2022,SN,La langue de Barbarie ,R,110.3,235,82,,20.8,M,ad summer ,5555555888,Senegal,,La Somone,1/4/2019,AD,,SAFRING,unknown,,,,,
CV83789,,,A43,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,116.2,231,77.2,,19.6,,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83790,A52,,A52,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,108.5,237,80.1,,20.9,M,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83791,A72,,A72,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,99.9,241,80.4,,20.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83792,A79,,A79,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,107.8,238,77.5,,21.2,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83793,A76,,A76,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,108.1,238,78.6,,19.5,F,ad summer ,5555588888,,,,,,,,ROC,,April / May 2022 + June 2023,Rockabill (Ireland),Steve Newton,
